NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
KOI 882.01,KOI 882,1.956810785,1,N/A,1.321261973372209,N/A,0.602,0.603,5209,N/A,0.43354623878774756,0.2398507454315623,KOI
KOI 883.01,KOI 883,2.688899317,1,N/A,1.1053636630710109,N/A,0.702,0.643,4809,N/A,0.7404345564733071,0.19812079986777464,KOI
KOI 887.01,KOI 887,7.411141,0.018315120114395567,N/A,0.20786903429826112,N/A,1.014,0.919,5849,N/A,2.0391191655255763,0.8856181873150848,KOI
KOI 890.01,KOI 890,8.098887986,0.585957737832203,N/A,0.8198782940776908,N/A,1.149,1.064,6167,N/A,1.0632131954504933,1.4671282111942705,KOI
KOI 891.01,KOI 891,10.00652995,0.0410433761122396,N/A,0.3184946147831726,N/A,1.079,1.001,6063,N/A,1.2703957363092224,1.2131302897332836,KOI
KOI 901.01,KOI 901,12.732623891,0.08771546223895035,N/A,0.4487473143863749,N/A,0.56,0.54,3945,N/A,0.9706726648477819,0.06327972284639034,KOI
KOI 902.01,KOI 902,83.9250821,0.08843544104099564,N/A,0.4505315979425831,N/A,0.53,0.51,3960,N/A,0.96705864162099,0.057307322039774726,KOI
KOI 903.01,KOI 903,5.007317779,0.2520317444074268,N/A,0.6512634980160111,N/A,0.917,0.835,5861,N/A,0.9124041740889928,0.7371380934481102,KOI
KOI 897.01,KOI 897,2.052349905,1,N/A,1.1936856991033191,N/A,1.143,1.051,6015,N/A,0.5879389847847358,1.2954986874029748,KOI
KOI 900.01,KOI 900,13.81020094,0.07795337862511804,N/A,0.42376734459945936,N/A,1.009,1.142,5942,N/A,1.024364955721806,1.456638606461892,KOI
KOI 911.01,KOI 911,4.093573252,0.019817626083733695,N/A,0.21946687741361473,N/A,1.077,0.999,6077,N/A,1.8747653021401476,1.2194863411861854,KOI
KOI 911.02,KOI 911,105.144749,0.02318294114622877,N/A,0.24177042186621786,N/A,1.077,0.999,6077,N/A,1.6404434299282276,1.2194863411861854,KOI
KOI 913.01,KOI 913,4.082275068,1,N/A,0.9679738292429755,N/A,0.868,0.797,5649,N/A,1.1025832330290757,0.5795514013316383,KOI
KOI 914.01,KOI 914,3.886651442,0.014464161109301587,N/A,0.17129122139599198,N/A,0.801,0.737,5654,N/A,2.877995846824248,0.49733292388524036,KOI
KOI 908.01,KOI 908,4.708326542,1,N/A,0.9902773736955787,N/A,0.94,1.21,5560,N/A,1.0297496714796448,1.253599832686615,KOI
